ordernumber;name;tax;price_EK;active;shippingtime;shippingfree;topseller;keywords;categories
85637;Rezepte Nr. 24: Jetzt geht die Party richtig los!;7;2,95;1;2-3;0;0;;54
85638;Rezepte Nr. 25: Feiern wie die Großen;7;2,95;1;2-3;0;0;;54
85639;Rezepte Nr. 26: Das kriegen Sie gebacken!;7;2,95;1;2-3;0;0;;54
85641;Rezepte Nr. 27: Lust auf Fleisch;7;2,95;1;2-3;0;0;;54
85645;Rezepte Nr. 28: So lecker war unsere Kindheit;7;2,95;1;2-3;0;0;;54
85646;Rezepte Nr. 29: Ein Topf für alle Fälle;7;2,95;1;2-3;0;0;;54
85648;Rezepte Nr. 30: Das süße Leben;7;2,95;1;2-3;0;0;;54
85650;Rezepte Nr. 31: Heimat auf dem Teller;7;2,95;1;2-3;0;0;;54
85653;Rezepte Nr. 32: Die besten Leserrezepte aus 15 Jahren;7;2,95;1;2-3;0;0;Rezepte, Backen, Kochen, Partyrezepte, Partydrinks, Rezepte für Kinder, Nordkurier;17
85658;Rezepte Nr. 33: Kein Sonntag ohne Kuchen!;7;2,95;1;2-3;0;0;;54
85285;Rezeptheftschuber;19;7,5;1;2-3;0;0;;52
4;Usedom Aktuell im Heft-Abo;7;22,5;1;2-3;0;1;;55
5;Rezepte 3er Set;7;7,5;1;2-3;0;0;;52
7;Print-Abonnement mit Dankeschönprämie;7;36,9;1;2-3;1;0;;57
8;Studenten- und Azubi-Abo;7;19,65;1;2-3;1;0;;57
9;Geschenk-Abo print;7;36,9;1;2-3;1;0;;52
10;Geschenk-Abo digital;19;23,99;1;2-3;1;0;;52
11;Kombi-Abo;7;4;1;1;1;0;;67
12;2 Wochen gratis lesen;7;2,99;1;2-3;1;0;;56
13;4 Wochen lesen zum Vorzugspreis;7;17,6;1;2-3;1;0;;56
14;6 Wochen lesen zum Vorzugspreis;7;21,1;1;2-3;1;0;;56
15;Leser werben Leser;7;36,9;1;2-3;1;0;;58
16;Leser werben Leser;7;23,99;1;1;1;0;;62
17;Studenten- und Azubi-Abo;7;12,35;1;1;1;0;;61
18;Kombi-Abo mit Samsung Tablet mit Wi-Fi;7;11;1;;1;0;;67
19;Digital-Abonnement mit 50 EUR Prämie;7;23,99;1;1;1;0;;61
20;Digital-Abonnement mit 100 EUR Prämie;7;23,99;1;1;1;0;;61
21;2 Wochen gratis digital testen;7;2,99;1;1;1;0;;60
22;Nordkurier digital 4 Wochen lang zum Sonderpreis;7;12;1;1;1;0;;60
23;6 Wochen digital lesen zum Vorzugspreis;7;14,5;1;1;1;0;;60
S1019;Kombi-Abo mit Samsung Tablet mit LTE;7;11;1;10;0;0;;67
SW10008;Kombi-Abo mit Samsung Smartphone;7;9;1;;1;0;;67
SW10009;Nordkurier digital mit iPad, 32 GB, Wifi;7;34,99;1;;1;0;;63
SW10010;Nordkurier digital mit iPad, 32 GB, Wifi + Celluar;7;34,99;1;;1;0;;63
SW10011;Nordkurier digital mit iPad, 128 GB, Wifi;7;34,99;1;;1;0;;63
SW10012;Nordkurier digital mit iPad, 128 GB, Wifi + Celluar;7;34,99;1;;1;0;;63
SW10013;Nordkurier digital mit Samsung Smartphone;7;28,99;1;;1;0;;63
SW10014;Nordkurier digital mit Samsung Tablet, Wi-Fi;7;29,99;1;;1;0;;63
SW10015;Nordkurier digital mit Samsung Tablet, Wi-Fi + LTE;7;29,99;1;;1;0;;63
85845;Papa-Kolumnen: Freud und Leid des Vater-Seins;7;9,95;1;2-3;0;0;Frank Wilhelm, Papa-Kolumne, Papa-Kolumne Nordkurier, Erziehung, Vater-Sein;44
SW10016;Nordkurier digital - 1. Monat vergünstigt;7;2,99;1;1;1;0;;60
SW10017;Digital-Abonnement;7;23,99;1;1;1;0;;61
6;Print-Abonnement;7;36,9;1;2-3;1;0;;57
85767;Hexe Wawu und der verschwundene Traumbesen;7;12,95;1;2-3;0;0;Katja Bluhm, Stephanie Wunder, Hexe, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;22
85779;Hexe Wawu und das geheimnisvolle Zeichen;7;12,95;1;2-3;0;0;Katja Bluhm, Stephanie Wunder, Hexe, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;22
85765;Hexe Wawu DVD;19;4,99;1;2-3;0;0;Hexe, DVD, Stephanie Wunder, Katja Bluhm, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;43
85812;Hexe Wawu Vorschulheft;7;7,95;1;2-3;0;1;Hexe, Einschulung, Vorschulheft, Stephanie Wunder, Katja Bluhm, Traum, Wawu, Kinderbuch;43
85846;1945. Zwischen Krieg und Frieden, Fünfter Teil: Erinnerungen aus Mecklenburg, Vorpommern und der Uckermark;7;14,95;1;2-3;0;0;Frank Wilhelm, Birgit Langkabel, Zeitzeugen, Kriegsende, 1945, Trümmerfrauen;26
85850;"Buchset ""Kriminalakte"": Alle 6 Bände zum Vorteilspreis!*";7;70;1;2-3;0;0;Kriminalfälle, Mecklenburg-Vorpommern, Thomas Beigang, Gerichtsreportagen, Bundle;44
85719;Kriminalakte Müritz;7;12,9;1;2-3;0;0;;44
85849;Kriminalakte Menschen am Abgrund;7;14,95;1;2-3;0;1;;44
85847;Stadt.Land.Klassik! für Zuhause! Die CD zur Tour.;19;14,95;1;2-3;0;0;CD, Klassik, klassische Musik, Andreas Schulz, Neue Philharmonie, Orchester, Stadt.Land.Klassik, Konzertreihe, Beethoven;43
85833;LED Leselupe;19;11,95;1;2-3;0;0;LED Leselupe, Lesen, Bücher;43
85823;WMF-Messerset Touch;19;17,95;0;2-3;0;0;WMF, Messer, Set, 2-teiliges Messerset;43
85724;Plüschtier Pittiplatsch;19;5,9;1;2-3;0;0;Plüschtier Pittiplatsch, Kuscheltier, Pitti, Auch du meine Nase;43
85661;Rezepte Nr. 35: Zeit für Eintöpfe;7;2,95;1;2-3;0;0;Rezepte, Nordkurier, Eintöpfe, Suppen, Kochen;17
85851;Die Corona-Akten: Wie das Virus den Nordosten infizierte;7;12,95;1;2-3;0;0;Corona, Zeitungsberichte, Covid-19, Pandemie;44
